article_id	title	main_topic	author	related_topics
13	Programming Languages InfoQ Trends Report - October 2019	Development	Abel Avram Arthur Casals Dylan Schiemann Charles Humble Werner Schuster Dustin Schultz Ben Evans Jonathan Allen Daniel Bryant	Development|Architecture & Design|DevOps|C|InfoQ|Ruby|Programming Languages|System Programming|Dynamic Languages|Python|Functional Programming|Infrastructure as Code|Elixir|Go Language|InfoQ Trends Report|Swift|Erlang|Rust
14	What Is Account Creation Fraud? Complete Guide to Detection and Prevention	DevOps	Sam Bocetta Richard Seroter	Development|Architecture & Design|Fraud Detection|Information Security|Security|Application Security|Cloud
15	A Transformation Journey for a Distributed Development Organization	Culture & Methods	Burak Ilter Ben Linders	Culture & Methods|Agile Conferences|Scaled Agile framework|Agile at Scale|Distributed Team|Agile|Lean|SAFe|Stories & Case Studies
16	Product Goals, not Sprint Goals	Culture & Methods	Mahesh Krshnan Shane Hastie	Culture & Methods|Product Owner|Sprint Planning|Agile|Scrum|Sprint|Product Management
17	Top Picks for QCon 2019	Architecture & Design	Wesley Resiz	Development|Architecture & Design|QCon London 2019|QCon San Francisco 2019|QCon|QCon New York 2019
18	The Open Application Model from Alibaba’s Perspective	DevOps	Xiang Li Lei Zhang Richard Seroter	Development|Architecture & Design|Containers|alibaba|Cloud Computing|Kubernetes|Cloud
19	Getting to Know Deep Java Library (DJL)	Development	Kesha Williams Ben Evans	Development|Architecture & Design|AI, ML & Data Engineering|Deep Learning|IaaS|Amazon|Java|Machine Learning|Cloud Computing
20	How SwissLife France’s Enterprise Architects Used Lean to Raise Their Level of Influence	Culture & Methods	Christian Phan-Trong Pierre Marchand Ben Linders	Architecture & Design|Culture & Methods|Agile Conferences|Enterprise Architecture|Continuous Improvement|Architecture|Agile|Lean|Process|Stories & Case Studies
21	Key Takeaway Points and Lessons Learned from QCon San Fransisco 2019	Architecture & Design	Abel Avram Wesley Resiz Charles Humble	Development|Architecture & Design|QCon San Francisco 2019|QCon
22	Q&A on the Book Building Digital Experience Platforms	Culture & Methods	Ben Linders Shailesh Kumar Sourabhh Sethii	Architecture & Design|Culture & Methods|Software Development|Enterprise Architecture|Architecture|InfoQ|Integration|Book Review|Platforms|Digital Focus|API
23	The Future of Spring Cloud's Hystrix Project	Development	Rajesh Bhojwani Ben Evans	Development|Architecture & Design|Spring|Pivotal|Java|Cloud
24	How Structure, Process, and Rules Make People Free	Culture & Methods	Stephen Bungay Antoine Merour Ben Linders	Culture & Methods|Leadership|Culture|Teamwork|Trust|Agile|Scrum|Process|Self-organizing Team
25	Great People Deserve Great Managers: Managers Effectiveness Index at Kronos Incorporated	Culture & Methods	Shaaron A Alvares David Almeda	Culture & Methods|Culture
26	InfoQ Editors' Recommended Talks from 2019	Development	Charles Humble Ben Linders Arthur Casals Manuel Pais Erik Costlow Shane Hastie Shaaron A Alvares Srini Penchikala Michael Redlich Steef-Jan Wiggers Daniel Bryant Daniel Bryant	Development|Architecture & Design|Culture & Methods|DevOps|AI, ML & Data Engineering|Leadership|Ethics|Security|Jakarta EE|Java|Agile|System Programming|Chaos Engineering|DevSecOps|Architecture|Java EE|Rust|Resilience
27	InfoQ's 2019, and Software Predictions for 2020	Development	Charles Humble Erik Costlow Arthur Casals Daniel Bryant Bruno Couriol Ben Linders Shane Hastie Charles Humble	Development|Architecture & Design|Culture & Methods|DevOps|AI, ML & Data Engineering|Containers|Service Mesh|.NET|Augmented Reality|Quantum Computing|Architecture|Java|Microsoft|Microservices|Cloud Computing|Emerging Technologies|Kubernetes
28	Quarkus, a Kubernetes Native Java Framework, Reaches Version 1.0: Q&A with Thomas Qvarnstrom	Development	Diogo Carleto Thomas Qvarnstrom	Development|Architecture & Design|Vert.x|Java|Microservices|Cloud|Microservice Frameworks|Containers|MicroProfile|Architecture|Cloud Native Architecture|GraalVM|RedHat|Cloud Computing|Kubernetes
29	Author Q&A: The 4 Stages of Psychological Safety	Culture & Methods	Timothy R Clark Shane Hastie Shane Hastie	Culture & Methods|Teamwork|Team Collaboration|Collaboration|Psychological Safety|Distributed Team|Agile
30	The Evolution of Lean Thinking - Transitioning from Lean Thinking to FLOW Thinking	Culture & Methods	Nigel Thurlow Ben Linders	Culture & Methods|Toyota Production System|Agile Conferences|Agile Techniques|Kanban|Process Adoption|Agile in the Enterprise|Agile|Lean|Adopting Agile|Adoption
31	On Uncertainty, Prediction, and Planning	Culture & Methods	J Meadows Shane Hastie	Culture & Methods|Value & Metrics|Agile Estimation|Agile|Project Management|Planning
32	Did You Forget the Ops in DevOps?	DevOps	Kris Buytaert Manuel Pais	DevOps|Culture|Teamwork|Collaboration|Agile|Platforms
33	Using Kanban with Overbård to Manage Development of Red Hat JBoss EAP	Culture & Methods	Ben Linders Dimitris Andreadis	Culture & Methods|Agile Conferences|Agile Techniques|Kanban|Kanban Board|Jira|Agile|Complex Systems|Lean|Stories & Case Studies
34	Adoption of Cloud-Native Architecture, Part 1: Architecture Evolution and Maturity	DevOps	Srini Penchikala Marcio Esteves Richard Seroter	Development|Architecture & Design|Containers|Service Mesh|Architecture|Cloud Adoption|Cloud Native Architecture|Microservices|Serverless|Cloud Computing|Cloud
35	Q&A with Tyler Treat on Microservice Observability	DevOps	Tyler Treat Matt Campbell	DevOps|Performance|Architecture|Microservices|Monitoring|Observability|application performance management
36	Q&A on the Book Mastering Professional Scrum	Culture & Methods	Ben Linders Simon Reindl Stephanie Ockerman	Culture & Methods|Facilitation|Teamwork|Agile in the Enterprise|InfoQ|Agile|Training / Certification|Scrum Assessments|Scrum|Adopting Agile|Book Review|Agile Certification
37	Lessons Learned in Performance Testing	Culture & Methods	Jiří Holuša Ben Linders	Development|Culture & Methods|Performance|Agile Conferences|Performance Evaluation|Testing|Hazelcast|Software Testing|Load Testing|application performance management
38	Q&A on the Book Rebooting AI	Culture & Methods	Ben Linders Gary Marcus Ernest Davis	Culture & Methods|AI, ML & Data Engineering|Safety|Artificial Intelligence|InfoQ|Machine Learning|Book Review
39	Predicting Time to Cook, Arrive, and Deliver at Uber Eats	AI, ML & Data Engineering	Zi Wang Roland Meertens	Development|AI, ML & Data Engineering|Time Series Data|Machine Learning
40	13 Practices for Better Code Reviews	Culture & Methods	Mohammad Ali Bozorgzadeh Shane Hastie	Development|Culture & Methods|Teamwork|Code Reviews|Agile
41	Book Review: A Leader's Guide to Cybersecurity	Development	Erik Costlow	Development|Architecture & Design|Disaster Recovery|Communication|Security|Distributed Team|InfoQ|Agile|Book Review|Application Security
42	The Unicorn Project and the Five Ideals: Interview with Gene Kim	DevOps	Shaaron A Alvares Gene Kim	Culture & Methods|DevOps|Enterprise|Architecture|InfoQ|Scaling Agile|Agile|Book Review|DevOps Enterprise
43	How to Use Redis TimeSeries with Grafana for Real-Time Analytics	AI, ML & Data Engineering	Roshan Kumar Srini Penchikala	Development|Architecture & Design|AI, ML & Data Engineering|NoSQL|Redis|Data Analysis|Database|Real-Time Data|Data Visualization|Grafana|Key-Value Store|Real Time|Data Analytics
44	Q&A on the Book Team Topologies	Culture & Methods	Ben Linders Manuel Pais Matthew Skelton	Architecture & Design|Culture & Methods|DevOps|Software Craftsmanship|IT Service Management|Continuous Delivery|Automated Deployment|Agile Techniques|Delivering Value|InfoQ|Agile|Book Review|Teamwork|Collaboration|Architecture|Cloud Computing
45	Porting a Desktop Game Editor to the Browser with WebAssembly	Development	Bruno Couriol Florian Rival	Development|Architecture & Design|WebAssembly|Electron|Porting|Game Development|Emerging Technologies
46	Newly Announced Ecstasy Programming Language Targets Cloud-Native Computing	Development	Chris Swan Cameron Purdy Charles Humble	Development|Runtimes|Ecstasy language|Cloud
47	Q&A on the Book Change-Friendly Leadership	Culture & Methods	Ben Linders Rodger Dean Duncan	Culture & Methods|Leadership|Team Collaboration|Trust|Psychological Safety|InfoQ|Agile|Book Review|Culture|Teamwork|Collaboration|Distributed Team|Culture Change|Change
48	Testing Microservices: Six Case Studies with a Combination of Testing Techniques - Part 3	Architecture & Design	Wojciech Bulaty Liam Williams Daniel Bryant	Development|Architecture & Design|DevOps|IT Service Management|Mocking|Continuous Delivery|Automated Deployment|Agile Techniques|Acceptance Testing|Agile|Automated testing|Microservices|Testing|Architecture|Automation|Consumer-Driven Contracts|Cloud Computing
49	Q&A on the Book Agile Leadership Toolkit	Culture & Methods	Ben Linders Peter Koning	Culture & Methods|Leadership|Culture|Coaching and Mentoring|InfoQ|Agile|Culture Change|Agile Manager|Book Review
50	Agile and Late! End-to-End Delivery Metrics to Improve Your Predictability	Culture & Methods	Charlie Ponsonby Shane Hastie	Culture & Methods|Value & Metrics|Agile Estimation|NoEstimates|Agile|NoProjects|Project Management|Metrics|Planning
51	Java Feature Spotlight: Local Variable Type Inference	Development	Brian Goetz Ben Evans	Development|Type Inference|Java10|Java|JDK 10|JDK
52	DevOps and Cloud as Catalysts for Business Performance	DevOps	Shaaron A Alvares Nicole Forsgren	DevOps|Culture|Cloud Adoption|Automation|DevOps Enterprise|Cloud Computing|Cloud
53	Angular & ASP.NET Core 3.0 - Deep Dive	Development	Evgueni Tsygankov Jonathan Allen	Architecture & Design|.NET Core 3 Article Series|.NET Core|ASP.NET SPA|ASP.NET Core|.NET|Angular|Microsoft|ASP.NET
54	Q&A on the Book Thinking Remote	Culture & Methods	Ben Linders Pilar Orti Maya Middlemiss	Culture & Methods|Leadership|Teamwork|Team Collaboration|Collaboration|Psychological Safety|Distributed Team|InfoQ|Agile|Book Review|Remote Developer
55	Containers in 2019: They're Calling it a [Hypervisor] Comeback	DevOps	Phil Estes Daniel Bryant	Architecture & Design|DevOps|Runtimes|Containers|IaaS|Infrastructure|Virtualization|Hypervisor|Virtual Machines|Cloud Computing|Kubernetes|Cloud
56	Categorise Unsolved Problems in Agile Development: Premature & Foreseeable	Culture & Methods	Bas Groot Shane Hastie	Architecture & Design|Culture & Methods|Software Craftsmanship|Agile Architecture|Architecture|Technical Debt|Agile|Design|Emergent Architecture
57	Q&A on the Book: The Technology Takers – Leading Change in the Digital Era	Culture & Methods	Ben Linders Jens Flanding Genevieve Grabman Sheila Cox	Culture & Methods|Business/IT Alignment|Enterprise Architecture|Architecture|InfoQ|Digital Transformation|Innovation|Technology|Book Review|Change
58	Using Docker Application Packages to Deliver Apps across Teams	DevOps	Karthikeyan Shanmugam Richard Seroter	Development|DevOps|Containers|Distributed Systems|Architecture|Docker|Cloud Computing|Cloud
59	The Current and Future State of Testing: a Conversation with Lisa Crispin	Culture & Methods	Xiaoqian Geng Lisa Crispin Shane Hastie	Development|Culture & Methods|Regression Testing|Testing|Unit Testing|Acceptance Testing|Agile in the Enterprise|Agile|Agile Test|Adopting Agile
60	SLOs Are the API for Your Engineering Team	DevOps	Charity Majors Manuel Pais	DevOps|SOA|SLA|Enterprise Architecture|Architecture|Business Process Management|Resilience|Site Reliability Engineering|API
61	Psychological Safety: Models and Experiences	Culture & Methods	Fabio Armani Giulia Armani Ben Linders	Culture & Methods|Leadership|Agile Conferences|Applied Research|Teamwork|Agile Culture|Team Collaboration|Collaboration|Psychological Safety|Distributed Team|Agile
62	A First Look at Java Inline Classes	Development	Ben Evans Charles Humble	Development|Performance|Applications|Benchmark|Project Valhalla|Java|Value Types|JDK|Open JDK|Platforms
63	Velocity and Better Metrics: Q&A with Doc Norton	Culture & Methods	Ben Linders Doc Norton	Culture & Methods|IT Service Management|Agile Conferences|Continuous Delivery|Automated Deployment|Agile Techniques|Java|Agile|Measurement|Java Web Frameworks|Velocity|Simulation|Cloud Computing
64	Three Major Cybersecurity Pain Points to Address for Improved Threat Defense	Architecture & Design	Jonathan Zhang Thomas Betts	Development|Architecture & Design|Threats|Information Security|Security|Risk Management|Security Assessment|Security Vulnerabilities|Threat Modeling
65	Q&A on the Book Real-World Bug Hunting	Culture & Methods	Ben Linders Peter Yaworski	Development|Culture & Methods|Ethics|HTML|Markup Languages|Database|Security|Java|InfoQ|Web Development|Relational Databases|Book Review|FindBugs|Bugs and Hotfixes|Debugging|Testing|SQL|Security Vulnerabilities
66	Q&A on the Book Impact: 21st Century Change Management, Behavioral Science, and the Future of Work	Culture & Methods	Ben Linders Paul Gibbons	Culture & Methods|Leadership|Enterprise Architecture|InfoQ|Agile|Book Review|Remuneration and Incentives|Culture|Human Resources|Business/IT Alignment|Architecture|Digital Transformation|Culture Change|Change
67	Using C# 8 and Nullable Reference Types in .NET Framework	Development	Jonathan Allen	Development|C# 8|.NET|.NET Framework|Microsoft
68	Author Q&A on the Book Software Estimation Without Guessing	Culture & Methods	Shane Hastie George Dinwiddie	Development|Architecture & Design|Culture & Methods|Value & Metrics|Agile Estimation|Estimating|InfoQ|Agile|Book Review|Project Management|Planning
69	Building Intelligent Conversational Interfaces	AI, ML & Data Engineering	Kaushik Rangadurai Mitul Tiwari Srini Penchikala	Development|Architecture & Design|AI, ML & Data Engineering|Natural Language Processing|Artificial Intelligence|Machine Learning|ChatBots
70	Liberating Structures - an Antidote to Zombie Scrum	Culture & Methods	Barry Overeem Johannes Schartau Christiaan Verwijs Ben Linders	Culture & Methods|Coaching and Mentoring|Antipatterns|Frameworks|Agile in the Enterprise|Architecture|Patterns|Agile|Scrum|Adopting Agile
71	Improving Security Practices in the Cloud Age: Q&A With Christopher Gerg	DevOps	Richard Seroter Richard Seroter	Architecture & Design|DevOps|Security|DevSecOps|Application Security|Cloud Computing|Cloud Security|Cloud
72	Agile Coaching Around Conflict Management	Culture & Methods	Deepti Sinha Shane Hastie	Culture & Methods|Coaching|Coaching and Mentoring|Teamwork|Agile
73	Using the .Net Core Template Engine to Create Custom Templates and Projects	Development	Matt Ellis Chris Woodruff	Development|.NET Core 3 Article Series|.NET Core|.NET|Microsoft
74	Scrum: The Art of Changing the Possible	Culture & Methods	Shaaron A Alvares J.J. Sutherland	Culture & Methods|Leadership|Agile Conferences|Agile Culture|Architecture|InfoQ|Patterns|Agile|Scrum|Book Review
75	Programming Languages InfoQ Trends Report - October 2019	Development	Abel Avram Arthur Casals Dylan Schiemann Charles Humble Werner Schuster Dustin Schultz Ben Evans Jonathan Allen Daniel Bryant	Development|Architecture & Design|DevOps|C|InfoQ|Ruby|Programming Languages|System Programming|Dynamic Languages|Python|Functional Programming|Infrastructure as Code|Elixir|Go Language|InfoQ Trends Report|Swift|Erlang|Rust
76	Q&A on the Book Managing Technical Debt	Culture & Methods	Ben Linders Philippe Kruchten Robert Nord Ipek Ozkaya	Development|Culture & Methods|Software Craftsmanship|Business/IT Alignment|Enterprise Architecture|Business Value|Delivering Value|Architecture|InfoQ|Technical Debt|Agile|Measurement|Book Review
77	The Why, How, and What of Three Industry-Oriented IoT Projects: Highlights from WebExpo 2019	Development	Bruno Couriol Tomáš Morava	Development|Architecture & Design|DevOps|Hardware|Infrastructure|Automation|IOT|Emerging Technologies
78	Q&A on the Book Engineering the Digital Transformation	Culture & Methods	Ben Linders Gary Gruver	Culture & Methods|Business/IT Alignment|Enterprise Architecture|Continuous Improvement|Management|Architecture|InfoQ|Agile|Lean|Digital Transformation|Book Review|Software Engineering
79	Postgres Handles More Than You Think	AI, ML & Data Engineering	Jason Skowronski Roland Meertens	Development|Architecture & Design|DevOps|AI, ML & Data Engineering|NoSQL|Heroku|PaaS|Redis|Database|Postgres|Relational Databases|Key-Value Store|Cloud Computing
80	Single Page Applications and ASP.NET Core 3.0	Development	Shawn Wildermuth Charles Humble	Development|.NET Core 3 Article Series|.NET Core|.NET|Microsoft|Web Development|ASP.NET
81	How to Tell Compelling Stories Using Data: Q&A with Dr. Christine Bailey	Culture & Methods	Ben Linders Christine Bailey	Culture & Methods|AI, ML & Data Engineering|Ethics|Agile Conferences|Agile|Data|Women in Technology|Stories & Case Studies|Change
82	Testing Microservices: Examining the Tradeoffs of Twelve Techniques - Part 2	Architecture & Design	Wojciech Bulaty Liam Williams Daniel Bryant	Development|Architecture & Design|Testing|Architecture|Automated testing|Microservices|Automation|Test Automation
83	Q&A on the Book Level up Agile with Toyota Kata	Culture & Methods	Ben Linders Jesper Boeg	Culture & Methods|Coaching and Mentoring|Assessment|Continuous Improvement|InfoQ|Kata|Agile|Scrum|Book Review|Retrospectives
84	Article Series - .NET Core 3	Development	Chris Woodruff Charles Humble	Development|.NET Core 3 Article Series|.NET Core|Mono|.NET|Article Series|Microsoft|ASP.NET
85	Q&A with Cyrille Martraire on the Book Living Documentation	Architecture & Design	Jan Stenberg Cyrille Martraire	Development|Architecture & Design|Architecture Documentation|Documentation|Architecture|InfoQ|Book Review
86	Q&A on the Book The Driver in the Driverless Car	Culture & Methods	Ben Linders Vivek Wadhwa Alex Salkever	Culture & Methods|Robotics|Quantum Computing|InfoQ|autonomous vehicles|Machine Learning|Technology|Book Review|Emerging Technologies
87	Implementing Policies in Kubernetes	DevOps	Karthikeyan Shanmugam Richard Seroter	Architecture & Design|DevOps|Containers|Security|Architecture|Cloud Computing|Kubernetes|Cloud
88	The Magic of Organizing around Customer Journeys - and How to do it	Culture & Methods	Ole Jepsen Maria Ebro Andreasen Ben Linders	Culture & Methods|Enterprise Architecture|Mobile|Customers & Requirements|Agile|Project Management|Stories & Case Studies|Banking|Business/IT Alignment|Teamwork|Robotics|Collaboration|Artificial Intelligence|Architecture|Digital Transformation|Mobile Development
89	Interview with Scott Hunter on .NET Core 3.0	Development	Chris Woodruff Scott Hunter Charles Humble	Development|.NET Core 3 Article Series|Entity Framework|.NET Core|C# 8|.NET|WinForms|Microsoft|ASP.NET
90	Strengthen Distributed Teams with Social Conversations	Culture & Methods	Pilar Orti Charles Humble	Culture & Methods|Meetings|Remote Meetings Article Series|Remote Developer
91	Rethinking Flink’s APIs for a Unified Data Processing Framework	AI, ML & Data Engineering	Aljoscha Krettek Thomas Betts	AI, ML & Data Engineering|Event Stream Processing|Apache Flink|Data Pipelines|Event Driven Architecture|Batch Processing|Architecture|Streaming|Flink
92	Q&A on the Book Continuous Delivery in Java	DevOps	Manuel Pais Daniel Bryant Abraham Marín Pérez	DevOps|IT Service Management|Continuous Delivery|Automated Deployment|Agile Techniques|Java|InfoQ|Agile|Book Review|Cloud Computing
93	Q&A on the Book Agile Leadership in Practice - Applying Management 3.0	Culture & Methods	Ben Linders Dominik Maximini	Culture & Methods|Leadership|Management 3.0|Trust|InfoQ|Agile|Book Review|Stories & Case Studies
94	Azure Data Lake Analytics and U-SQL	AI, ML & Data Engineering	Aniruddha Chakrabarti Srini Penchikala	Development|Architecture & Design|AI, ML & Data Engineering|Azure|PaaS|Data Analysis|Database|.NET|Microsoft|Streaming|Cloud Computing|Data Analytics
95	Q&A on the Book Helping People Change	Culture & Methods	Ben Linders Richard Boyatzis Melvin Smith Ellen Van Oosten	Culture & Methods|Coaching|Culture|Coaching and Mentoring|Applied Research|InfoQ|Agile|Book Review|Change
96	Q&A with Gojko Adzic on the Book Running Serverless	DevOps	Jan Stenberg Gojko Adzic	Development|Architecture & Design|InfoQ|Book Review|Serverless|Cloud Computing|Cloud
97	Using Java to Orchestrate Robot Swarms	Architecture & Design	Matthew Cornford Thomas Betts	Development|Architecture & Design|Robotics|Architecture|Java|Simulation
98	Remote Meetings Reflect Distributed Team Culture	Culture & Methods	Mark Kilby Charles Humble	Culture & Methods|Culture|Meetings|Remote Meetings Article Series|Remote Developer
99	Data Analytics in the World of Agility	Culture & Methods	Almudena Rodriguez Pardo Ben Linders	Culture & Methods|AI, ML & Data Engineering|Surveys|Database|Data Analysis|Customers & Requirements|Big Data|Infrastructure|Agile|Project Management|Data Analytics
100	Appreciation at Work	Culture & Methods	Shaaron A Alvares	Culture & Methods|Leadership|Culture|Organization|Teamwork|Team Collaboration|Collaboration|Distributed Team|Agile
101	Navigating the .NET Ecosystem	Development	David Pine Charles Humble	Development|.NET Core 3 Article Series|.NET Core|Mono|.NET|Microsoft
102	How to Use Chaos Engineering to Break Things Productively	DevOps	Sam Bocetta Richard Seroter	Architecture & Design|DevOps|Chaos Engineering|Architecture|Network Security|Resilience|Cloud
103	Can Your Meeting Kit Cut It?	Culture & Methods	J. Elise Keith Lisette Sutherland Charles Humble	Culture & Methods|Meetings|Remote Meetings Article Series|Remote Developer
104	Article Series - Remote Meetings	Culture & Methods	Judy Rees Charles Humble	Development|Culture & Methods|Article Series|Meetings|Remote Meetings Article Series|Remote Developer
105	Designing Chaos Experiments, Running Game Days, and Building a Learning Organization: Chaos Conf Q&A	DevOps	Daniel Bryant	Development|Architecture & Design|DevOps|Chaos Engineering|Leadership|Fault Tolerance|Disaster Recovery|learning|Architecture|Infrastructure|Training / Certification|Agile|Resilience
106	Great Global Meetings: Navigating Cultural Differences	Culture & Methods	Nancy Settle-Murphy Charles Humble	Culture & Methods|Meetings|Remote Meetings Article Series|Remote Developer
107	Cellery: A Code-First Approach to Deploy Applications on Kubernetes	Architecture & Design	Dakshitha Ratnayake Thomas Betts	Architecture & Design|Microservice Frameworks|Containers|Architecture|Microservices|Cloud Computing|Kubernetes
108	The Death of Agile and Beyond	Culture & Methods	Mynul Chowdhuri Shane Hastie	Culture & Methods|Agile in the Enterprise|Agile|Adopting Agile
109	Agile around The World - A Journey of Discovery	Culture & Methods	Ben Linders David Spinks Glaudia Califano	Culture & Methods|Agile Conferences|Agile Culture|Teamwork|learning|Agile in the Enterprise|Agile|Adopting Agile
110	How Compuware Escaped Its Waterfall for True Mainframe DevOps	DevOps	David Rizzo Manuel Pais	DevOps|Infrastructure|Agile|Scrum|mainframes
111	Mastering Remote Meetings: How To Get—and Keep—Your Participants Engaged	Culture & Methods	Judy Rees Charles Humble	Culture & Methods|Meetings|Remote Meetings Article Series|Remote Developer
112	An Engineer’s Guide to a Good Night’s Sleep	DevOps	Nicky Wrightson Susan Conant	Architecture & Design|DevOps|Failure|Architecture|Microservices|Resilience
113	Q&A on the Book Right to Left: The Digital Leader's Guide to Lean and Agile	Culture & Methods	Ben Linders Mike Burrows	Culture & Methods|Agile Techniques|Kanban|Agile in the Enterprise|InfoQ|Agile|Lean|Scrum|Adopting Agile|Book Review
114	Key Takeaway Points and Lessons Learned from QCon New York 2019	Architecture & Design	Abel Avram Charles Humble	Development|Architecture & Design|QCon|QCon New York 2019
115	Balancing Generalists and Specialists– Building Successful Agile Teams	Culture & Methods	Dave West Shane Hastie	Culture & Methods|Diversity in Teams|Teamwork|Distributed Team|Agile|Scrum|Group Communication
116	Testing Microservices: an Overview of 12 Useful Techniques - Part 1	Architecture & Design	Wojciech Bulaty Liam Williams Daniel Bryant	Development|Architecture & Design|Testing|Architecture|Automated testing|Microservices|Automation|Test Automation|Test Design
117	Fraud Detection Using Random Forest, Neural Autoencoder, and Isolation Forest Techniques	AI, ML & Data Engineering	Kathrin Melcher Rosaria Silipo Srini Penchikala	Development|Architecture & Design|AI, ML & Data Engineering|Fraud Detection|Random Forests|Machine Learning
118	Empathy is a Technical Skill	Culture & Methods	Andrea Goulet Ben Linders	Development|Culture & Methods|Communication|Social Skills|Teamwork|Empathy Driven Development|Collaboration|Distributed Team|Agile
119	Kubernetes Workloads in the Serverless Era: Architecture, Platforms, and Trends	DevOps	Bilgin Ibryam Daniel Bryant	Development|Architecture & Design|DevOps|Microservices|AWS Lambda|Serverless|Cloud|Containers|IaaS|PaaS|FaaS|Knative|Architecture|Docker|Cloud Computing|Kubernetes
120	The Challenges in Integrating Cross-Boundary Teams	Culture & Methods	Premjith Purushotham Shane Hastie	Culture & Methods|Diversity in Teams|Co-Located Teams|Diversity|Teamwork|Distributed Team|Agile|Group Communication
121	Privacy Attacks on Machine Learning Models	AI, ML & Data Engineering	Katharine Jarmul Roland Meertens	AI, ML & Data Engineering|Differential Privacy|Adversarial Machine Learnin|Machine Learning|Privacy
122	Scrum & The Toyota Production System, Build Ultra-Powerful Teams	Culture & Methods	Pierre Jannez Stéphane Wojewoda	Development|Culture & Methods|Continuous Improvement|Management|Agile|Lean|Scrum
123	Unlocking Continuous Testing: The Four Best Practices Necessary for Success	Development	Lubos Parobek Daniel Bryant	Development|Architecture & Design|IT Service Management|Continuous Delivery|Testing|Automated Deployment|Unit Testing|Agile Techniques|Acceptance Testing|Agile|Automated testing|Automation|Cloud Computing
124	2019 State of Testing Report	Culture & Methods	Ben Linders Joel Montvelisky Lalit Bhamare	Development|Culture & Methods|Testing|Teamwork|Collaboration|Survey|Agile|Best Practices|Adoption
125	Rediscovering Lean	Culture & Methods	Kevin Duggan Ben Linders	Culture & Methods|Agile Conferences|Process Adoption|Agile in the Enterprise|Agile|Lean|Adopting Agile|Adoption|Stories & Case Studies
126	Humanity at Work: Interview with Rich Sheridan, Author of Chief Joy Officer	Culture & Methods	Shaaron A Alvares Shane Hastie	Culture & Methods|Leadership|Culture|Menlo Innovations|Agile
127	Running Single-file Programs without Compiling in Java 11	Development	Mohamed Taman Ben Evans	Development|DevOps|Java11|Java|Scripting
128	Q&A on the Book Gamification for Business	Culture & Methods	Ben Linders Jake Inlove	Culture & Methods|Facilitation|Business Agility|Teamwork|Collaboration|Gamification|InfoQ|Game Development|Agile|Book Review
